date,cash,positions_value,nav,n_positions,exposure,regime,1306.T,1321.T
2020-07-01,1000000,0,1000000,0,0.0,0,100.0,100.0
2020-07-02,1000000,0,1000000,0,0.0,0,100.3707,100.1738
2020-07-03,1000000,0,1000000,0,0.0,0,100.8648,100.9122
2020-07-06,1000000,0,1000000,0,0.0,1,102.4707,102.6499
2020-07-07,80,1013732,1013812,10,0.9999,1,102.1001,100.5213
2020-07-08,80,1009732,1009812,10,0.9999,0,101.1736,101.6215
2020-07-09,80,1014584,1014664,10,0.9999,0,99.0735,102.0633
2020-07-10,80,1009398,1009478,10,0.9999,0,99.8239,101.0029
2020-07-13,80,1017646,1017726,10,0.9999,1,102.2202,102.9469
2020-07-14,80,1002676,1002756,10,0.9999,0,101.6527,102.24
2020-07-15,80,1008157,1008237,10,0.9999,1,103.1661,103.7423
2020-07-16,80,976650,976729,10,0.9999,1,102.5986,103.0353
2020-07-17,66709,914461,981170,9,0.932,1,102.2202,102.6377
2020-07-20,1126,987146,988272,10,0.9989,1,102.3464,102.726
2020-07-21,1126,1009263,1010389,10,0.9989,1,102.8508,103.5213
2020-07-22,1126,1007348,1008474,10,0.9989,1,102.0941,102.9469
2020-07-27,1126,993178,994304,10,0.9989,1,102.4725,102.7702
2020-07-28,102564,896798,999362,9,0.8974,0,101.968,102.6377
2020-07-29,102564,895522,998086,9,0.8972,0,100.5807,101.4005
2020-07-30,102564,898110,1000674,9,0.8975,0,99.9501,101.1354
2020-07-31,102564,873338,975902,9,0.8949,0,97.2385,98.3961
2020-08-03,392101,605065,997167,6,0.6068,0,98.7519,100.296
2020-08-04,392101,604146,996248,6,0.6064,0,100.959,102.1075
2020-08-05,392101,604171,996273,6,0.6064,0,100.896,101.7982
2020-08-06,392101,601776,993878,6,0.6055,0,100.6437,101.3564
2020-08-07,504831,483689,988520,5,0.4893,0,100.5807,101.0029
2020-08-11,504831,488979,993810,5,0.492,1,103.1031,102.8586
2020-08-12,3464,990058,993522,10,0.9965,1,104.2381,103.3004
2020-08-13,118556,894173,1012730,9,0.8829,1,105.5624,105.1561
2020-08-14,29292,994736,1024028,10,0.9714,1,105.3733,105.2445
2020-08-17,29292,985574,1014866,10,0.9711,1,104.4904,104.4934
2020-08-18,29292,989567,1018858,10,0.9713,1,104.5534,104.2724
2020-08-19,29292,990920,1020212,10,0.9713,1,104.8057,104.6259
2020-08-20,29292,975205,1004497,10,0.9708,1,103.7336,103.5213
2020-08-21,115325,896090,1011416,10,0.886,1,104.2381,103.8748
2020-08-24,115325,903192,1018517,10,0.8868,1,104.4274,103.9632
2020-08-25,115325,902952,1018278,10,0.8867,1,105.3733,105.2887
2020-08-26,115325,900214,1015539,10,0.8864,1,105.4994,105.2445
2020-08-27,115325,901740,1017066,10,0.8866,1,104.8057,104.9352
2020-08-28,115325,880894,996220,10,0.8842,1,104.049,103.6097
2020-08-31,85155,919211,1004366,10,0.9152,1,104.6796,104.7143
2020-09-01,85155,923375,1008530,10,0.9156,1,104.8688,104.7143
2020-09-02,137259,886735,1023994,10,0.866,1,105.4363,105.1561
2020-09-03,137259,887347,1024605,10,0.866,1,105.8147,106.1723
2020-09-04,137259,864787,1002046,10,0.863,1,104.9318,104.9794
2020-09-07,137259,856787,994046,10,0.8619,1,104.5534,104.5376
2020-09-08,137259,854016,991274,10,0.8615,1,105.3101,105.2445
2020-09-09,240798,742205,983003,9,0.755,1,104.112,104.2282
2020-09-10,128565,858790,987354,9,0.8698,1,105.4994,105.0677
2020-09-11,18886,973123,992010,10,0.981,1,106.3192,105.8189
2020-09-14,150782,838295,989077,9,0.8476,1,107.1389,106.57
2020-09-15,63280,929626,992907,10,0.9363,1,106.4453,105.9956
2020-09-16,63280,936703,999983,10,0.9367,1,106.7605,106.1281
2020-09-17,63280,932892,996172,10,0.9365,1,106.3822,105.5538
2020-09-18,63280,934427,997707,10,0.9366,1,106.8236,105.7305
2020-09-23,63280,935855,999136,10,0.9367,1,106.6975,105.6863
2020-09-24,63280,924706,987986,10,0.936,1,105.6885,104.4492
2020-09-25,63280,926216,989496,10,0.936,1,106.1299,104.9794
2020-09-28,63280,933397,996677,10,0.9365,1,108.0217,106.3049
2020-09-29,63280,950905,1014185,10,0.9376,1,108.6523,107.1002
2020-09-30,63280,942970,1006250,10,0.9371,1,106.3192,105.5096
2020-10-02,63280,932387,995667,10,0.9364,1,105.3733,104.7585
2020-10-05,157122,847892,1005014,9,0.8437,1,107.1389,105.9956
2020-10-06,39551,962031,1001582,10,0.9605,1,107.7064,106.57
2020-10-07,32384,976345,1008730,10,0.9679,1,107.8325,106.4816
2020-10-08,32384,994477,1026862,10,0.9685,1,108.4001,107.542
2020-10-09,32384,990232,1022617,10,0.9683,1,107.7064,107.3653
2020-10-12,32384,993720,1026104,10,0.9684,1,107.5173,107.2769
2020-10-13,32384,993865,1026250,10,0.9684,1,107.8325,107.3211
2020-10-14,110949,915722,1026671,10,0.8919,1,107.4542,107.542
2020-10-15,134240,884039,1018280,10,0.8682,1,106.7605,107.0118
2020-10-16,134240,871824,1006064,10,0.8666,1,105.8147,106.6141
2020-10-19,127143,891743,1018886,10,0.8752,1,107.2019,107.7629
2020-10-20,127143,889257,1016401,10,0.8749,1,106.4453,107.1885
2020-10-21,127143,881501,1008644,10,0.8739,1,107.1389,107.5862
2020-10-22,115098,880426,995524,10,0.8844,1,105.9408,106.8351
2020-10-23,69974,916432,986406,10,0.9291,1,106.3822,107.1002
2020-10-26,65720,913660,979380,10,0.9329,1,105.9408,106.8792
2020-10-27,38148,941158,979306,10,0.961,1,105.8777,106.8792
2020-10-28,38148,958271,996419,10,0.9617,1,105.4994,106.6583
2020-10-29,38148,962116,1000264,10,0.9619,1,105.6255,106.1723
2020-10-30,38148,937350,975499,10,0.9609,1,103.4814,104.6259
2020-11-02,226432,751886,978319,8,0.7685,1,105.3101,105.9956
2020-11-04,137735,854279,992013,8,0.8612,1,106.5714,108.028
2020-11-05,292,1017350,1017642,10,0.9997,1,107.9587,109.8837
2020-11-06,292,1025397,1025688,10,0.9997,1,108.5893,110.7674
2020-11-09,292,1061730,1062022,10,0.9997,1,110.0397,113.1533
2020-11-10,292,1037730,1038021,10,0.9997,1,111.3008,113.3742
2020-11-11,142040,910885,1052925,8,0.8651,1,113.1297,115.4508
2020-11-12,15891,1047711,1063602,9,0.9851,1,113.0035,116.2019
2020-11-13,15891,1042747,1058637,9,0.985,1,111.49,115.495
2020-11-16,15891,1058840,1074731,9,0.9852,1,113.3819,117.8809
2020-11-17,15891,1052338,1068228,9,0.9851,1,113.571,118.2785
2020-11-18,15891,1040885,1056775,9,0.985,1,112.6882,117.1739
2020-11-19,130270,927380,1057650,8,0.8768,1,112.8774,116.5112
2020-11-20,131599,928647,1060246,9,0.8759,1,113.0035,116.2019
2020-11-24,3831,1083477,1087308,10,0.9965,1,115.2106,119.0738
2020-11-25,3831,1086817,1090649,10,0.9965,1,115.3998,119.5598
2020-11-26,3831,1113402,1117233,10,0.9966,1,116.5348,120.8412
2020-11-27,3831,1126608,1130439,10,0.9966,1,116.8502,121.1946
2020-11-30,3831,1137302,1141134,10,0.9966,1,114.643,120.311
2020-12-01,3831,1136803,1140634,10,0.9966,1,115.715,121.9899
2020-12-02,3831,1129156,1132987,10,0.9966,1,116.0304,121.769
2020-12-03,3831,1126262,1130093,10,0.9966,1,116.3457,121.9899
2020-12-04,40763,1080483,1121246,9,0.9636,1,116.2826,121.8132
2020-12-07,1408,1104222,1105629,10,0.9987,1,115.3367,120.797
2020-12-08,88818,1018554,1107372,9,0.9198,1,115.2737,120.4877
2020-12-09,681,1128891,1129572,10,0.9994,1,116.5979,121.9899
2020-12-10,681,1124160,1124841,10,0.9994,1,116.4718,121.7248
2020-12-11,681,1123551,1124232,10,0.9994,1,116.6609,121.2388
2020-12-14,124847,1002733,1127579,9,0.8893,1,117.3546,121.6365
2020-12-15,27889,1099943,1127832,10,0.9753,1,116.724,121.4155
2020-12-16,27889,1106917,1134806,10,0.9754,1,117.1024,121.769
2020-12-17,27889,1134846,1162735,10,0.976,1,117.4177,122.0341
2020-12-18,27889,1130240,1158130,10,0.9759,1,117.4807,121.8132
2020-12-21,27889,1127251,1155140,10,0.9759,1,117.1654,121.4597
2020-12-22,27889,1104070,1131960,10,0.9754,1,115.2737,120.1342
2020-12-23,27889,1112115,1140004,10,0.9755,1,115.652,120.6202
2020-12-24,88601,1051639,1140240,10,0.9223,1,116.2196,121.2388
2020-12-25,88601,1045536,1134138,10,0.9219,1,116.3457,121.283
2020-12-28,88601,1066132,1154733,10,0.9233,1,117.0393,121.9899
2020-12-29,88601,1088250,1176851,10,0.9247,1,119.0572,125.5246
2020-12-30,88601,1086493,1175094,10,0.9246,1,118.2374,125.2153
2021-01-04,88601,1097203,1185804,10,0.9253,1,117.5438,124.3316
2021-01-05,88601,1107949,1196551,10,0.926,1,117.4177,123.6689
2021-01-06,88601,1101838,1190439,10,0.9256,1,117.7961,123.3154
2021-01-07,88601,1114876,1203478,10,0.9264,1,119.814,125.0827
2021-01-08,88601,1148024,1236625,10,0.9284,1,121.7057,128.0872
2021-01-12,88601,1153083,1241685,10,0.9286,1,121.7057,128.3081
2021-01-13,88601,1179258,1267860,10,0.9301,1,122.1472,129.5894
2021-01-14,88601,1184072,1272673,10,0.9304,1,122.9039,130.7382
2021-01-15,88601,1172239,1260841,10,0.9297,1,121.5166,129.722
2021-01-18,88601,1169355,1257956,10,0.9296,1,121.0121,128.7058
2021-01-19,88601,1194223,1282824,10,0.9309,1,121.8319,130.4289
2021-01-20,88601,1184399,1273000,10,0.9304,1,121.2013,129.9871
2021-01-21,88601,1192444,1281045,10,0.9308,1,121.8949,130.9149
2021-01-22,45187,1235486,1280673,10,0.9647,1,121.6427,130.3847
2021-01-25,45187,1234243,1279431,10,0.9647,1,122.0211,131.1359
2021-01-26,45187,1228304,1273491,10,0.9645,1,121.3274,130.0313
2021-01-27,45187,1220411,1265598,10,0.9643,1,122.0211,130.5173
2021-01-28,162338,1067361,1229699,9,0.868,1,120.4446,128.3965
2021-01-29,183026,1017354,1200380,9,0.8475,1,118.4266,126.2757
2021-02-01,163400,1036690,1200090,10,0.8638,1,119.7509,127.8663
2021-02-02,356246,852298,1208544,10,0.7052,1,121.0752,129.1918
2021-02-03,356246,845104,1201350,10,0.7035,1,122.8409,130.694
2021-02-04,344105,844756,1188862,10,0.7106,1,122.3994,129.1476
2021-02-05,344105,853451,1197557,10,0.7127,1,124.039,131.0917
2021-02-08,285944,929872,1215816,10,0.7648,1,126.183,133.6543
2021-02-09,285944,939148,1225093,10,0.7666,1,126.183,134.317
