id,date,ticker,code,name,side,shares,price,amount,commission,realized_pnl,pnl_pct,holding_days,entry_price,exit_type,signal_date,reason
1,2020-07-07,6920.T,6920,レーザーテック,BUY,7,10146.7,71027,0,,,,10146.7,,2020-07-06,"12ヶ月モメンタム +378.7%（候補内 1 位）、株価 9,970円 > 50日線 8,400円 > 200日線 5,486円 の上昇トレンド、20日高値圏（直近1ヶ月 +11.2%）、業種 電気機器（同業種 1 銘柄目）。想定損切り 8,661円（3.0×ATR=1,309円 下）、資産の 1% をリスク上限として 7 株（評価 7.0%、リスク許容で決定）"
2,2020-07-07,4519.T,4519,中外製薬,BUY,22,4960.9,109140,0,,,,4960.9,,2020-07-06,"12ヶ月モメンタム +137.1%（候補内 2 位）、株価 5,034円 > 50日線 4,465円 > 200日線 3,375円 の上昇トレンド、20日高値圏（直近1ヶ月 +4.7%）、業種 医薬品（同業種 1 銘柄目）。想定損切り 4,590円（3.0×ATR=443円 下）、資産の 1% をリスク上限として 22 株（評価 11.1%、リスク許容で決定）"
3,2020-07-07,2413.T,2413,エムスリー,BUY,23,4522.5,104019,0,,,,4522.5,,2020-07-06,"12ヶ月モメンタム +125.9%（候補内 3 位）、株価 4,492円 > 50日線 4,057円 > 200日線 3,147円 の上昇トレンド、20日高値圏（直近1ヶ月 +5.3%）、業種 サービス（同業種 1 銘柄目）。想定損切り 4,071円（3.0×ATR=421円 下）、資産の 1% をリスク上限として 23 株（評価 10.3%、リスク許容で決定）"
4,2020-07-07,6857.T,6857,アドバンテスト,BUY,66,1551.9,102425,0,,,,1551.9,,2020-07-06,"12ヶ月モメンタム +120.9%（候補内 4 位）、株価 1,532円 > 50日線 1,325円 > 200日線 1,248円 の上昇トレンド、20日高値圏（直近1ヶ月 +9.8%）、業種 電気機器（同業種 2 銘柄目）。想定損切り 1,382円（3.0×ATR=150円 下）、資産の 1% をリスク上限として 66 株（評価 10.1%、リスク許容で決定）"
5,2020-07-07,7733.T,7733,オリンパス,BUY,52,1910.2,99331,0,,,,1910.2,,2020-07-06,"12ヶ月モメンタム +65.9%（候補内 5 位）、株価 1,952円 > 50日線 1,727円 > 200日線 1,595円 の上昇トレンド、20日高値圏（直近1ヶ月 +4.4%）、業種 精密機器（同業種 1 銘柄目）。想定損切り 1,763円（3.0×ATR=189円 下）、資産の 1% をリスク上限として 52 株（評価 10.1%、リスク許容で決定）"
6,2020-07-07,8035.T,8035,東京エレクトロン,BUY,14,8595.3,120334,0,,,,8595.3,,2020-07-06,"12ヶ月モメンタム +62.8%（候補内 6 位）、株価 8,502円 > 50日線 6,781円 > 200日線 6,476円 の上昇トレンド、20日高値圏（直近1ヶ月 +23.7%）、業種 電気機器（同業種 3 銘柄目）。想定損切り 7,790円（3.0×ATR=712円 下）、資産の 1% をリスク上限として 14 株（評価 11.9%、リスク許容で決定）"
7,2020-07-07,6146.T,6146,ディスコ,BUY,14,8313.8,116393,0,,,,8313.8,,2020-07-06,"12ヶ月モメンタム +60.6%（候補内 7 位）、株価 8,097円 > 50日線 7,644円 > 200日線 7,149円 の上昇トレンド、20日高値圏（直近1ヶ月 +3.5%）、業種 機械（同業種 1 銘柄目）。想定損切り 7,406円（3.0×ATR=691円 下）、資産の 1% をリスク上限として 14 株（評価 11.3%、リスク許容で決定）"
8,2020-07-07,6702.T,6702,富士通,BUY,96,1182.7,113535,0,,,,1182.7,,2020-07-06,"12ヶ月モメンタム +56.8%（候補内 8 位）、株価 1,175円 > 50日線 1,055円 > 200日線 959円 の上昇トレンド、20日高値圏（直近1ヶ月 +9.7%）、業種 電気機器（同業種 4 銘柄目）。想定損切り 1,072円（3.0×ATR=103円 下）、資産の 1% をリスク上限として 96 株（評価 11.3%、リスク許容で決定）"
9,2020-07-07,4307.T,4307,野村総合研究所,BUY,44,2708.6,119178,0,,,,2708.6,,2020-07-06,"12ヶ月モメンタム +55.0%（候補内 9 位）、株価 2,707円 > 50日線 2,540円 > 200日線 2,255円 の上昇トレンド、20日高値圏（直近1ヶ月 +8.4%）、業種 情報通信（同業種 1 銘柄目）。想定損切り 2,514円（3.0×ATR=194円 下）、資産の 1% をリスク上限として 44 株（評価 11.9%、1銘柄上限で決定）"
10,2020-07-07,4689.T,4689,LINEヤフー,BUY,90,494.9,44539,0,,,,494.9,,2020-07-06,12ヶ月モメンタム +45.6%（候補内 11 位）、株価 491円 > 50日線 426円 > 200日線 363円 の上昇トレンド、20日高値圏（直近1ヶ月 +20.0%）、業種 情報通信（同業種 2 銘柄目）。想定損切り 441円（3.0×ATR=50円 下）、資産の 1% をリスク上限として 100 株（評価 4.9%、現金残高で決定）
11,2020-07-17,6920.T,6920,レーザーテック,SELL,7,9518.5,66629,0,-4398,-0.0619,10,10146.7,stop,2020-07-16,"トレーリングストップ抵触: 終値 9,742円 < 損切りライン 9,785円（最高値 10,988円 から 3.0×ATR 下落）。現在の含み損益 -4.0%"
12,2020-07-20,4523.T,4523,エーザイ,BUY,9,7287.0,65583,0,,,,7287.0,,2020-07-17,"12ヶ月モメンタム +41.6%（候補内 1 位）、株価 7,313円 > 50日線 7,142円 > 200日線 6,641円 の上昇トレンド、20日高値圏（直近1ヶ月 -0.6%）、業種 医薬品（同業種 2 銘柄目）。想定損切り 6,771円（3.0×ATR=542円 下）、資産の 1% をリスク上限として 9 株（評価 6.7%、現金残高で決定）"
13,2020-07-28,4519.T,4519,中外製薬,SELL,22,4610.8,101438,0,-7702,-0.0706,21,4960.9,stop,2020-07-27,"トレーリングストップ抵触: 終値 4,511円 < 損切りライン 4,524円（最高値 4,961円 から 3.0×ATR 下落）。現在の含み損益 -9.1%"
14,2020-08-03,6857.T,6857,アドバンテスト,SELL,66,1366.6,90194,0,-12232,-0.1194,27,1551.9,stop,2020-07-31,"トレーリングストップ抵触: 終値 1,344円 < 損切りライン 1,517円（最高値 1,648円 から 3.0×ATR 下落）。現在の含み損益 -13.4%"
15,2020-08-03,7733.T,7733,オリンパス,SELL,52,1803.9,93803,0,-5528,-0.0556,27,1910.2,stop,2020-07-31,"トレーリングストップ抵触: 終値 1,780円 < 損切りライン 1,787円（最高値 1,926円 から 3.0×ATR 下落）。現在の含み損益 -6.8%"
16,2020-08-03,6146.T,6146,ディスコ,SELL,14,7538.6,105540,0,-10853,-0.0932,27,8313.8,stop,2020-07-31,"トレーリングストップ抵触: 終値 7,633円 < 損切りライン 7,819円（最高値 8,431円 から 3.0×ATR 下落）。現在の含み損益 -8.2%"
17,2020-08-07,4307.T,4307,野村総合研究所,SELL,44,2562.0,112730,0,-6448,-0.0541,31,2708.6,stop,2020-08-06,"トレーリングストップ抵触: 終値 2,556円 < 損切りライン 2,562円（最高値 2,747円 から 3.0×ATR 下落）。現在の含み損益 -5.6%"
18,2020-08-12,4568.T,4568,第一三共,BUY,36,2899.6,104387,0,,,,2899.6,,2020-08-11,"12ヶ月モメンタム +39.9%（候補内 1 位）、株価 2,898円 > 50日線 2,756円 > 200日線 2,364円 の上昇トレンド、20日高値圏（直近1ヶ月 +10.0%）、業種 医薬品（同業種 2 銘柄目）。想定損切り 2,625円（3.0×ATR=273円 下）、資産の 1% をリスク上限として 36 株（評価 10.5%、リスク許容で決定）"
19,2020-08-12,8267.T,8267,イオン,BUY,145,817.5,118542,0,,,,817.5,,2020-08-11,12ヶ月モメンタム +36.7%（候補内 2 位）、株価 817円 > 50日線 770円 > 200日線 707円 の上昇トレンド、20日高値圏（直近1ヶ月 +4.1%）、業種 小売（同業種 1 銘柄目）。想定損切り 774円（3.0×ATR=43円 下）、資産の 1% をリスク上限として 145 株（評価 11.9%、1銘柄上限で決定）
20,2020-08-12,6981.T,6981,村田製作所,BUY,60,1961.1,117667,0,,,,1961.1,,2020-08-11,"12ヶ月モメンタム +35.5%（候補内 3 位）、株価 1,964円 > 50日線 1,932円 > 200日線 1,835円 の上昇トレンド、20日高値圏（直近1ヶ月 +0.4%）、業種 電気機器（同業種 3 銘柄目）。想定損切り 1,843円（3.0×ATR=122円 下）、資産の 1% をリスク上限として 60 株（評価 11.9%、1銘柄上限で決定）"
21,2020-08-12,6273.T,6273,SMC,BUY,2,53694.7,107389,0,,,,53694.7,,2020-08-11,"12ヶ月モメンタム +34.1%（候補内 4 位）、株価 53,345円 > 50日線 51,864円 > 200日線 46,504円 の上昇トレンド、20日高値圏（直近1ヶ月 +2.3%）、業種 機械（同業種 1 銘柄目）。想定損切り 49,440円（3.0×ATR=3,905円 下）、資産の 1% をリスク上限として 2 株（評価 10.7%、リスク許容で決定）"
