date,cash,positions_value,nav,n_positions,exposure,regime,1306.T,1321.T,flow,core_value
2026-09-04,1000000,0,1000000,0,0.0,1,100.0,100.0,0,0
2026-09-07,1010,994322,995332,9,0.999,1,100.6082,102.0348,0,0
2026-09-08,1010,982062,983071,9,0.999,1,98.7602,100.2673,0,0
2026-09-09,1010,971912,972922,9,0.999,1,98.5731,100.0297,0,0
2026-09-10,1010,984482,985492,9,0.999,1,98.8772,100.2525,0,0
2026-09-11,1010,989254,990264,9,0.999,1,98.1754,98.396,0,0
2026-09-14,1010,1002025,1003035,9,0.999,1,99.0175,97.8167,0,0
2026-09-15,1010,981612,982622,9,0.999,1,98.5497,97.787,0,0
2026-09-16,1010,986844,987853,9,0.999,1,99.1579,98.292,0,0
2026-09-17,1010,992894,993904,9,0.999,1,99.9766,98.693,0,0
2026-09-18,1010,981958,982968,9,0.999,1,99.7193,100.0891,0,0
2026-09-24,4862,1458562,1463424,9,0.9967,1,99.3684,100.7872,500000,492768
2026-09-25,116028,1379522,1495550,8,0.9224,1,100.655,102.0793,0,499148
