候補,リターン,TOPIX,最大DD,シャープ,投資比率,取引数,勝率,PF,平均保有
base(現行),0.2237,0.5842,-0.1389,0.5880,0.7732,135,0.3852,1.2940,39.4444
stop2.5,0.3048,0.5842,-0.1463,0.7157,0.8050,189,0.4709,1.4483,28.3439
stop4.0,0.0694,0.5842,-0.1355,0.2784,0.6139,94,0.3298,1.0582,54.2234
mom退出なし,0.2237,0.5842,-0.1389,0.5880,0.7732,135,0.3852,1.2940,39.4444
trend退出なし,0.2276,0.5842,-0.1389,0.5968,0.7733,135,0.3926,1.3009,39.4444
退出はストップのみ,0.2276,0.5842,-0.1389,0.5968,0.7733,135,0.3926,1.3009,39.4444
高値圏10%,0.2957,0.5842,-0.1431,0.7256,0.7393,133,0.4286,1.5322,40.6090
高値圏フィルタなし,0.3850,0.5842,-0.1405,0.8835,0.7122,129,0.4729,1.7042,41.7054
regime100日,0.2788,0.5842,-0.1381,0.7015,0.7615,128,0.4375,1.4307,41.8047
10銘柄×12%,0.2332,0.5842,-0.1395,0.5731,0.8437,164,0.3841,1.3287,40.3415
リスク1.5%,0.1854,0.5842,-0.1831,0.4726,0.8479,136,0.3529,1.1976,39.0441
候補20,0.2237,0.5842,-0.1389,0.5880,0.7732,135,0.3852,1.2940,39.4444
stop4.0+退出ストップのみ,0.0688,0.5842,-0.1355,0.2763,0.6166,94,0.3404,1.0563,54.2234
stop4.0+高値圏10%,0.2727,0.5842,-0.1266,0.7296,0.6082,87,0.3908,1.7203,58.1149
stop4.0+高値圏10%+退出ストップのみ,0.2727,0.5842,-0.1266,0.7296,0.6082,87,0.3908,1.7203,58.1149
