候補,リターン,TOPIX,最大DD,シャープ,投資比率,取引数,勝率,PF,平均保有
base(現行),0.1539,0.2995,-0.2251,0.4183,0.7667,173,0.3988,1.1301,34.8150
stop2.5,0.2437,0.2995,-0.1819,0.5901,0.7870,212,0.4245,1.2420,27.5094
stop4.0,0.2301,0.2995,-0.2103,0.6031,0.6911,109,0.3578,1.3351,55.6147
mom退出なし,0.1539,0.2995,-0.2251,0.4183,0.7667,173,0.3988,1.1301,34.8150
trend退出なし,0.1536,0.2995,-0.2251,0.4178,0.7670,172,0.4012,1.1358,35.0116
退出はストップのみ,0.1536,0.2995,-0.2251,0.4178,0.7670,172,0.4012,1.1358,35.0116
高値圏10%,0.1405,0.2995,-0.2535,0.3895,0.7733,173,0.3815,1.1095,34.9191
高値圏フィルタなし,0.2856,0.2995,-0.2362,0.6650,0.7701,166,0.4096,1.2805,36.4639
regime100日,-0.0526,0.2995,-0.3400,-0.0330,0.7758,181,0.3315,0.9106,32.6188
10銘柄×12%,0.2271,0.2995,-0.2084,0.5484,0.8168,200,0.4050,1.2189,36.4700
リスク1.5%,0.2159,0.2995,-0.2281,0.4896,0.8370,164,0.3598,1.1829,34.3841
候補20,0.1539,0.2995,-0.2251,0.4183,0.7667,173,0.3988,1.1301,34.8150
stop4.0+退出ストップのみ,0.2794,0.2995,-0.1767,0.6985,0.6910,106,0.3962,1.4466,57.4717
stop4.0+高値圏10%,0.1800,0.2995,-0.2019,0.4935,0.6770,113,0.3186,1.2340,54.2389
stop4.0+高値圏10%+退出ストップのみ,0.1876,0.2995,-0.2108,0.5129,0.6804,110,0.3273,1.2582,56.0909
高値圏なし+stop2.5,0.0424,0.2995,-0.2502,0.1850,0.7830,219,0.4064,1.0171,26.7032
高値圏なし+regime100,0.0902,0.2995,-0.3053,0.2841,0.7724,179,0.3575,1.0545,33.2793
高値圏なし+stop2.5+regime100,-0.0301,0.2995,-0.2958,0.0228,0.7908,217,0.3733,0.9418,26.8986
高値圏なし+10銘柄×12%,0.1798,0.2995,-0.2341,0.4649,0.7970,208,0.3846,1.1857,35.5144
高値圏なし+stop3.5,0.2234,0.2995,-0.2043,0.5634,0.7286,137,0.3358,1.2918,44.5693
