候補,リターン,TOPIX,最大DD,シャープ,投資比率,取引数,勝率,PF,平均保有
base(現行),0.4865,0.5030,-0.2041,1.3900,0.8411,104,0.4712,1.8751,43.2019
stop2.5,0.3892,0.5030,-0.2193,1.1182,0.8685,144,0.4583,1.5076,30.4167
stop4.0,0.4204,0.5030,-0.2184,1.2444,0.8024,66,0.4697,1.9376,68.6515
mom退出なし,0.4905,0.5030,-0.2045,1.4045,0.8589,101,0.4752,1.8798,44.3564
trend退出なし,0.5052,0.5030,-0.1993,1.4252,0.8361,102,0.4510,1.8881,44.0882
退出はストップのみ,0.4645,0.5030,-0.1992,1.3707,0.8349,99,0.4747,1.8599,45.4040
高値圏10%,0.4278,0.5030,-0.2037,1.2152,0.8648,110,0.4364,1.7828,40.9455
高値圏フィルタなし,0.3006,0.5030,-0.2134,0.9070,0.8245,110,0.4455,1.5191,40.9364
regime100日,0.2751,0.5030,-0.1997,0.9027,0.8027,107,0.4299,1.5094,41.2523
10銘柄×12%,0.5980,0.5030,-0.2261,1.5325,0.8774,129,0.4884,1.8794,43.1550
リスク1.5%,0.4848,0.5030,-0.2080,1.3354,0.8865,102,0.4608,1.7838,43.4412
候補20,0.4865,0.5030,-0.2041,1.3900,0.8411,104,0.4712,1.8751,43.2019
stop4.0+退出ストップのみ,0.3784,0.5030,-0.2187,1.1521,0.7958,67,0.4925,1.8135,67.5373
stop4.0+高値圏10%,0.4738,0.5030,-0.2157,1.3562,0.7681,62,0.5161,2.2007,73.3226
stop4.0+高値圏10%+退出ストップのみ,0.3907,0.5030,-0.2140,1.1954,0.7710,61,0.4754,1.9126,74.4262
高値圏なし+stop2.5,0.4343,0.5030,-0.1984,1.1827,0.8866,138,0.4565,1.6819,30.9855
高値圏なし+regime100,0.2238,0.5030,-0.2511,0.7189,0.8246,111,0.4414,1.3689,39.6396
高値圏なし+stop2.5+regime100,0.2633,0.5030,-0.2451,0.7832,0.8244,137,0.4453,1.3723,31.0657
高値圏なし+10銘柄×12%,0.3337,0.5030,-0.2151,0.9863,0.9044,132,0.4394,1.5282,40.8788
高値圏なし+stop3.5,0.4093,0.5030,-0.1786,1.2643,0.7815,87,0.4598,2.0023,52.1494
