候補,リターン,TOPIX,最大DD,シャープ,投資比率,取引数,勝率,PF,平均保有
base(現行),0.2237,0.5842,-0.1389,0.5880,0.7732,135,0.3852,1.2940,39.4444
stop2.5,0.3182,0.5842,-0.1463,0.7372,0.8048,189,0.4709,1.4716,28.3492
stop4.0,0.0730,0.5842,-0.1355,0.2873,0.6146,94,0.3298,1.0692,54.2553
mom退出なし,0.2237,0.5842,-0.1389,0.5880,0.7732,135,0.3852,1.2940,39.4444
trend退出なし,0.2276,0.5842,-0.1389,0.5968,0.7733,135,0.3926,1.3009,39.4444
退出はストップのみ,0.2276,0.5842,-0.1389,0.5968,0.7733,135,0.3926,1.3009,39.4444
高値圏10%,0.2957,0.5842,-0.1431,0.7256,0.7393,133,0.4286,1.5322,40.6090
高値圏フィルタなし,0.3850,0.5842,-0.1405,0.8835,0.7122,129,0.4729,1.7042,41.7054
regime100日,0.2788,0.5842,-0.1381,0.7015,0.7615,128,0.4375,1.4307,41.8047
10銘柄×12%,0.2332,0.5842,-0.1395,0.5731,0.8437,164,0.3841,1.3287,40.3415
リスク1.5%,0.1854,0.5842,-0.1831,0.4726,0.8479,136,0.3529,1.1976,39.0441
候補20,0.2237,0.5842,-0.1389,0.5880,0.7732,135,0.3852,1.2940,39.4444
stop4.0+退出ストップのみ,0.0732,0.5842,-0.1355,0.2874,0.6172,94,0.3404,1.0701,54.2553
stop4.0+高値圏10%,0.2082,0.5842,-0.1541,0.5867,0.6055,92,0.3804,1.4746,55.6087
stop4.0+高値圏10%+退出ストップのみ,0.2082,0.5842,-0.1541,0.5867,0.6055,92,0.3804,1.4746,55.6087
高値圏なし+stop2.5,0.4493,0.5842,-0.1169,0.9365,0.7916,174,0.4598,1.6177,30.8966
高値圏なし+regime100,0.3696,0.5842,-0.1457,0.8636,0.7137,125,0.4960,1.6808,43.2400
高値圏なし+stop2.5+regime100,0.3932,0.5842,-0.1253,0.8579,0.7984,173,0.4624,1.5151,31.1214
高値圏なし+10銘柄×12%,0.2770,0.5842,-0.1213,0.6570,0.8199,168,0.4167,1.3952,40.0119
高値圏なし+stop3.5,0.2494,0.5842,-0.1313,0.6588,0.6796,116,0.3707,1.5126,46.5086
